character	killed by	death	type	run
<1> goblin	Simon	Stabbed with a dagger by Simon (reset by the Pit)	undone	31
<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	31
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	31
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	31
<6> bandits	Simon	Incinerated with magic and finished off with a sword by Simon (8 mentioned, minus Luken and the feral boy) (reset by the Pit)	undone	31
Simon	Helades	Assassinated in his sleep with a meat cleaver by an innkeeper, sent in the Pit by Helades (reset by the Pit)	undone	31

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	32
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	32
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	32
Luken	Simon	Stabbed in the heart with a dagger by Simon (reset by the Pit)	undone	32
<6> bandits	Simon	Incinerated with magic and finished off with a sword by Simon (previously known count) (reset by the Pit)	undone	32
<1> goblin	Simon | Baron Corwin	Decapitated with a sword by Simon on orders from Baron Corwin (reset by the Pit)	undone	32
<1> goblin	Simon | Baron Corwin	Run through with a sword by Simon on orders from Baron Corwin (reset by the Pit)	undone	32
<1> goblin	Simon | Baron Corwin	Skull with a shield by Simon on orders from Baron Corwin (reset by the Pit)	undone	32
<2> goblins	Gregor Corwin III | Simon | Baron Corwin	Slain by Gregor Corwin III while distracted by Simon, on orders from Baron Corwin (reset by the Pit)	undone	32
<24+> goblins	Simon | Baron Corwin	Suffocated via smoke inhalation in their cave due to Simon's fire on orders from Baron Corwin (dozens mentioned) (reset by the Pit)	undone	32
King Brin		Died of an illness (reset by the Pit)	undone	32
<2,000+> people	King Brin's Son | King Brin's Brother	Died during the Succession War between the King's son and the King's brother (thousands mentioned in run 36)	undone	32
<1> messenger	King Brin's Son	Beheaded by the King Brin's Son's army (reset by the Pit)	undone	32
<1> dark-haired axe wielder	Simon | Baron Corwin	Stabbed in the gut with a sword by Simon, fighting as Baron Corwin's man (reset by the Pit)	undone	32
<6+> men	Simon | Baron Corwin	Incinerated with magic by Simon, fighting as Baron Corwin's man (several mentioned twice) (reset by the Pit)	undone	32
Simon	Martem | Viktor | Baron Corwin | Helades	Stabbed in the back and the side after using magic by Martem and Viktor, Baron Corwin's men, sent in the Pit by Helades (reset by the Pit)	undone	32

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	33
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	33
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	33
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	33
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	33
<1> slime	Simon	Incinerated with magic by Simon (reset by the Pit)	undone	33
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (count taken from run 34) (reset by the Pit)	undone	33
<2> zombies	Simon	Head crushed with a mace by Simon (reset by the Pit)	undone	33
<2> zombies	Simon	Slain by Simon (reset by the Pit)	undone	33
Olggen		Bitten and turned into a zombie (reset by the Pit)	undead | undone	33
Olggen	Freya	Turned into a zombie and put down by Freya (reset by the Pit)	undone	33
Brenna	Freya	Stabbed in the neck in self-defense by Freya (reset by the Pit)	undone	33
Kurtz		Bitten and turned into a zombie (reset by the Pit)	undead | undone	33
Kurtz	Simon	Turned into a zombie and skull crushed with a mace by Simon (reset by the Pit)	undone	33
<1> bitten man	Simon	Skull crushed with a mace by Simon (reset by the Pit)	undone	33
<6+> hobgoblins	Simon | Trav | Baron Raithewait	Slain by Simon and five men, including Trav, sent by Baron Raithewait (half a dozen mentioned) (reset by the Pit)	undone	33
<6> centaurs	Simon | Baron Raithewait	Slain by Simon and a dozen men, sent by Baron Raithewait (9 mentioned, 3 survived) (reset by the Pit)	undone	33
<2> Baron Raithewait's men		Slain by centaurs (reset by the Pit)	undone	33
<3+> bandits	Simon | Baron Raithewait	Slain by Simon and several men, sent by Baron Raithewait (several mentioned) (reset by the Pit)	undone	33
<3+> gnoll raiders	Simon | Baron Raithewait	Slain by Simon and several men, sent by Baron Raithewait (several mentioned) (reset by the Pit)	undone	33
<3+> goblins	Simon | Baron Raithewait	Slain by Simon and several men, sent by Baron Raithewait (several mentioned) (reset by the Pit)	undone	33
<3+> house occupants		Slaughtered by goblins (several mentioned) (reset by the Pit)	undone	33
<150+> orcs	Simon | Baron Raithewait	Shot with arrows and stabbed with spears during a siege, defense led by Simon on orders from Baron Raithewait (half of 300 mentioned) (reset by the Pit)	undone	33
<150+> orcs	Baron Raithewait | Simon	Slain by Baron Raithewait's knights as part of Simon's plan (other half of 300 mentioned) (reset by the Pit)	undone	33
<36+> Baron Raithewait's knights		Slain by orcs (several dozens mentioned) (reset by the Pit)	undone	33
<1> Baron Raithewait's man		Vital organ punctured by goblins (reset by the Pit)	undone	33
Freya	Varten Raithewait	Suffered a stroke while hitting her head on a table after being struck by Varten Raithewait (reset by the Pit)	undone	33
Simon and Freya's unborn child	Varten Raithewait	Died alongside its mother when she was killed by Varten Raithewait (reset by the Pit)	undone	33
Mitchel	Simon	Suffocated after having his throat stomped on by Simon (reset by the Pit)	undone	33
Keldin	Simon	Incinerated with magic by Simon (reset by the Pit)	undone	33
Garrek	Simon	Incinerated with magic and beheaded by Simon (reset by the Pit)	undone	33
<3> Baron Raithewait's men	Simon	Incinerated with magic by Simon (5 mentioned, minus Garrek and Keldin) (reset by the Pit)	undone	33
<1> Baron Raithewait's man	Simon	Run through with a sword by Simon (reset by the Pit)	undone	33
Baron Raithewait	Simon	Shot in the chest with a crossbow by Simon (reset by the Pit)	undone	33
Varten Raithewait	Simon	Skull struck with an axe by Simon (reset by the Pit)	undone	33
<1> ewe	Simon	Shot with a longbow by Simon (reset by the Pit)	undone	33
<10,000+> Ionar inhabitants	Simon???	Perished in a volcano eruption caused by Simon??? (count taken from run 43) (reset by the Pit)	undone	33
<1> troll	Simon	Trapped inside a burning house by Simon (reset by the Pit)	undone	33
<1> orc	Simon	Heart fried with lightning magic by Simon (reset by the Pit)	undone	33
<1> biggest orc	Simon	Struck with lightning magic by Simon (reset by the Pit)	undone	33
<6+> orcs	Simon	Struck with lightning magic by Simon (dozen mentioned, minus others) (reset by the Pit)	undone	33
<1> orc	Simon	Struck down with a sword by Simon (reset by the Pit)	undone	33
<1> orc	Simon	Run through with a sword by Simon (reset by the Pit)	undone	33
<1> orc	Simon	Stabbed in the heart with a sword by Simon (reset by the Pit)	undone	33
<1> orc	Simon	Disemboweled with a sword by Simon (reset by the Pit)	undone	33
<24+> Rivenwood inhabitants		Slain by orcs (dozens mentioned) (reset by the Pit)	undone	33
<9+> family members		Frozen to death by the mage's blue orb (several mentioned several times) (reset by the Pit)	undone	33
<1> mage		Frozen to death by the blue orb he was working on (reset by the Pit)	undone	33
<1> maid		Frozen to death by the mage's blue orb (reset by the Pit)	undone	33
<1> footman		Frozen to death by the mage's blue orb (reset by the Pit)	undone	33
<200+> Hurag inhabitants		Died from the Black Plague (hundreds mentioned) (reset by the Pit)	undone	33
<1> chicken	Simon	Beheaded by Simon (reset by the Pit)	undone	33
<1> Robin Klarr's master		Died from the Black Plague (reset by the Pit)	undone	33
<3+> Robin Klarr's patients		Died from the Black Plague (several mentioned) (reset by the Pit)	undone	33
<3+> people		Petrified and devoured by a basilisk (several mentioned) (reset by the Pit)	undone	33
<1> bird		Petrified by a basilisk and fell out of the sky (reset by the Pit)	undone	33
<1> basilisk	Simon	Beheaded and disemboweled by Simon (reset by the Pit)	undone	33
<24+> people	Simon	Petrified by a basilisk, then shattered and heads broken as a mercy by Simon (two dozens mentioned) (reset by the Pit)	undone	33
Simon	Simon | Helades	Died of old age after unknowingly using his own life force as a source of magic, sent in the Pit by Helades (reset by the Pit)	undone	33

<6> rats	Simon	Slain by Simon (reset by the Pit)	undone	34
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	34
<6> goblins	Simon	Shot with arrows by Simon (previously known count) (reset by the Pit)	undone	34
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	34
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	34
<1> zombie	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	34
<2> zombies	Simon	Head crushed with a mace by Simon (reset by the Pit)	undone	34
Brenna	Olggen	Bitten by Olggen and turned into a zombie (reset by the Pit)	undead | undone	34
Brenna	Simon	Turned into a zombie and face crushed with a mace by Simon (reset by the Pit)	undone	34
Olggen		Presumably bitten and turned into a zombie (reset by the Pit)	undead | undone	34
Olggen	Brenna	Presumably put down by Brenna after turning into a zombie (reset by the Pit)	undone	34
Freya	Olggen | Brenna	Presumably bitten by Olggen while used as a human shield by Brenna and turned into a zombie (reset by the Pit)	undead | undone	34
Freya	Brenna	Presumably put down by Brenna after turning into a zombie (reset by the Pit)	undone	34
<6> zombies	Simon	Bludgeoned with a mace by Simon (reset by the Pit)	undone	34
<3+> zombies	Simon	Head sliced off by Simon (several mentioned) (reset by the Pit)	undone	34
<18+> zombies	Simon	Devoured by a slime brought by Simon (half a dozen mentioned several times) (reset by the Pit)	undone	34
<7,128+> Schwartzenbruck inhabitants		Murdered and/or bitten by zombies (Simon states the 72 people he saved is about 1% of the town's original population) (reset by the Pit)	undone	34
<2> Schwartzenbruck's dwindling survivors	Simon	Bitten by zombies and pushed into the horde with magic by Simon (reset by the Pit)	undone	34
<1> mercenary	Simon	Bitten by zombies and pushed into the horde with magic by Simon (reset by the Pit)	undone	34
<3+> zombies	Simon	Head crushed with a mace by Simon (several mentioned) (reset by the Pit)	undone	34
Simon	Simon | Simon??? | Helades	Crushed to death by hundreds of pounds of stones when he accidentally triggered a trap left by Simon???, sent in the Pit by Helades (reset by the Pit)	undone	34

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	35
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	35
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	35
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	35
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	35
<1> carrion crawler	Simon	Shot three times with a crossbow by Simon (reset by the Pit)	undone	35
<3+> plants	Simon	Frozen with magic by Simon (several mentioned) (reset by the Pit)	undone	35
<3+> plants	Simon	Incinerated with magic by Simon (several mentioned) (reset by the Pit)	undone	35
Simon	Helades	Paralyzed and devoured alive by a blossom, sent in the Pit by Helades (reset by the Pit)	undone	35

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	36
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	36
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	36
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	36
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	36
<1> carrion crawler	Simon	Crushed with magic by Simon (reset by the Pit)	undone	36
<1> wyvern	Simon	Fell to its death after having its wing sliced off with magic by Simon (reset by the Pit)	undone	36
<1> elk	Simon	Fell to its death after it was carried away by a wyvern that was shot out of the sky by Simon (reset by the Pit)	undone	36
<3+> people		Murdered by goblins (reset by the Pit)	undone	36
<1> goblin	Kurtz	Bludgeoned with a piece of wood by Kurtz (reset by the Pit)	undone	36
<3+> goblins	Simon	Slain by Simon (all mentioned) (reset by the Pit)	undone	36
King Brin		Died of an illness (reset by the Pit)	undone	36
Baron Corwin	King Brin's Son | King Brin's Brother	Died during the Succession War between the King's son and the King's brother, succeeded by his son Gregor III (reset by the Pit)	undone	36
<2,000+> people	King Brin's Son | King Brin's Brother	Died during the Succession War between the King's son and the King's brother (thousands mentioned)	undone	36
<3> highwaymen	Simon	Beheaded by Simon (reset by the Pit)	undone	36
<1> young troll	Simon	Incinerated with magic by Simon (reset by the Pit)	undone	36
<10,000+> Ionar inhabitants	Simon???	Perished in a volcano eruption caused by Simon??? (count taken from run 43) (reset by the Pit)	undone	36
<4> fire elementals	Simon	Extinguished with an ice sword by Simon (reset by the Pit)	undone	36
Simon	Brogan | Helades	Incinerated in molten lava by Brogan, sent in the Pit by Helades (reset by the Pit)	undone	36

<2> trouts	Simon	Fished and gutted by Simon (reset by the Pit)	undone	37
<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
King Brin's Brother	Simon	Struck by lightning cast by Simon (reset by the Pit)	undone	37
<1> guard	Simon	Struck by lightning cast by Simon (reset by the Pit)	undone	37
<2> guards	Nedden	Murdered by goblins, left to die by Nedden (reset by the Pit)	undone	37
